pc,lipid_variable,lipid_display,correlation,p_value,n_obs,type
PC1,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.010374755925344169,0.3032892514110445,9847,Partial (adjusted)
PC1,apolipoprotein_b_g_L,Apolipoprotein B,-0.03681964572643076,0.00012463621518965536,10854,Partial (adjusted)
PC1,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.022070850897185686,0.027964330773545303,9916,Partial (adjusted)
PC1,ldl_cholesterol_mmol_L,LDL cholesterol,-0.037714063371722915,8.16525023184763e-05,10906,Partial (adjusted)
PC1,total_cholesterol_mmol_L,Total cholesterol,-0.03089188948301999,0.0012434805532057524,10921,Partial (adjusted)
PC1,triglycerides_mmol_L_log,log(Triglycerides),-0.022447862553663725,0.018958859168173695,10925,Partial (adjusted)
PC10,apolipoprotein_a_g_L_log,log(Apolipoprotein A),-0.017505729895999782,0.0823797486891477,9847,Partial (adjusted)
PC10,apolipoprotein_b_g_L,Apolipoprotein B,-0.03922557111051049,4.356301688037067e-05,10854,Partial (adjusted)
PC10,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),-0.02926677512848932,0.0035612594418275097,9916,Partial (adjusted)
PC10,ldl_cholesterol_mmol_L,LDL cholesterol,-0.050449827661590535,1.3544692765096804e-07,10906,Partial (adjusted)
PC10,total_cholesterol_mmol_L,Total cholesterol,-0.04996356451992183,1.7506397242615407e-07,10921,Partial (adjusted)
PC10,triglycerides_mmol_L_log,log(Triglycerides),0.017283403412259157,0.07085016441454252,10925,Partial (adjusted)
PC11,apolipoprotein_a_g_L_log,log(Apolipoprotein A),-0.007277702446805587,0.4702334756299134,9847,Partial (adjusted)
PC11,apolipoprotein_b_g_L,Apolipoprotein B,0.00030702812863926633,0.9744853809892488,10854,Partial (adjusted)
PC11,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),-0.01973791497369132,0.049364749335031384,9916,Partial (adjusted)
PC11,ldl_cholesterol_mmol_L,LDL cholesterol,0.011546466792633386,0.22792537841769764,10906,Partial (adjusted)
PC11,total_cholesterol_mmol_L,Total cholesterol,0.009625853460088828,0.31449043258714193,10921,Partial (adjusted)
PC11,triglycerides_mmol_L_log,log(Triglycerides),0.0437543637938109,4.762360973040498e-06,10925,Partial (adjusted)
PC12,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.008921830880936002,0.3760289264838088,9847,Partial (adjusted)
PC12,apolipoprotein_b_g_L,Apolipoprotein B,-0.018704791219477136,0.051336216184083225,10854,Partial (adjusted)
PC12,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.013566541676167877,0.17674795561023948,9916,Partial (adjusted)
PC12,ldl_cholesterol_mmol_L,LDL cholesterol,-0.021143554848592844,0.027240570098073572,10906,Partial (adjusted)
PC12,total_cholesterol_mmol_L,Total cholesterol,-0.017095286661688462,0.07402726043597796,10921,Partial (adjusted)
PC12,triglycerides_mmol_L_log,log(Triglycerides),-0.01270277575675506,0.18430024574094508,10925,Partial (adjusted)
PC13,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.0023302510251856775,0.8171543433929124,9847,Partial (adjusted)
PC13,apolipoprotein_b_g_L,Apolipoprotein B,-0.0010276781073290963,0.9147462949227422,10854,Partial (adjusted)
PC13,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),-0.013224613567957852,0.18791007636720966,9916,Partial (adjusted)
PC13,ldl_cholesterol_mmol_L,LDL cholesterol,0.004673540794023375,0.6255406469896835,10906,Partial (adjusted)
PC13,total_cholesterol_mmol_L,Total cholesterol,0.005650673815687941,0.5548871134259489,10921,Partial (adjusted)
PC13,triglycerides_mmol_L_log,log(Triglycerides),0.02676418581163262,0.005147639339987649,10925,Partial (adjusted)
PC14,apolipoprotein_a_g_L_log,log(Apolipoprotein A),-0.0008297360886055931,0.9343874989209422,9847,Partial (adjusted)
PC14,apolipoprotein_b_g_L,Apolipoprotein B,0.011388428902665358,0.2354733789474996,10854,Partial (adjusted)
PC14,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),-0.010685799416098212,0.28733836211632136,9916,Partial (adjusted)
PC14,ldl_cholesterol_mmol_L,LDL cholesterol,0.019282778805947524,0.044041921407712604,10906,Partial (adjusted)
PC14,total_cholesterol_mmol_L,Total cholesterol,0.012669647379810354,0.18552788998221462,10921,Partial (adjusted)
PC14,triglycerides_mmol_L_log,log(Triglycerides),0.0036228583372990755,0.7049634292955975,10925,Partial (adjusted)
PC15,apolipoprotein_a_g_L_log,log(Apolipoprotein A),-0.04279681476818332,2.1547298109436664e-05,9847,Partial (adjusted)
PC15,apolipoprotein_b_g_L,Apolipoprotein B,0.004024348012139585,0.6750552280979495,10854,Partial (adjusted)
PC15,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),-0.036692374552911015,0.0002576193010543015,9916,Partial (adjusted)
PC15,ldl_cholesterol_mmol_L,LDL cholesterol,0.008494528136202554,0.37507182104740844,10906,Partial (adjusted)
PC15,total_cholesterol_mmol_L,Total cholesterol,-0.003048571771362131,0.7500670433359408,10921,Partial (adjusted)
PC15,triglycerides_mmol_L_log,log(Triglycerides),-0.007907867530306952,0.4085374120648723,10925,Partial (adjusted)
PC16,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.002294872947729732,0.8198823178040198,9847,Partial (adjusted)
PC16,apolipoprotein_b_g_L,Apolipoprotein B,0.02425469154616921,0.011504285490052635,10854,Partial (adjusted)
PC16,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.00606113768816512,0.5461813185842408,9916,Partial (adjusted)
PC16,ldl_cholesterol_mmol_L,LDL cholesterol,0.032806548991469946,0.0006112417703738356,10906,Partial (adjusted)
PC16,total_cholesterol_mmol_L,Total cholesterol,0.02859106510238875,0.0028068305404610524,10921,Partial (adjusted)
PC16,triglycerides_mmol_L_log,log(Triglycerides),0.009496388194965925,0.32095505810139324,10925,Partial (adjusted)
PC17,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.005454557155520283,0.588368216282635,9847,Partial (adjusted)
PC17,apolipoprotein_b_g_L,Apolipoprotein B,-0.007758184835298443,0.41898327799845264,10854,Partial (adjusted)
PC17,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.0025068874182048676,0.8028947260036707,9916,Partial (adjusted)
PC17,ldl_cholesterol_mmol_L,LDL cholesterol,-0.01517889007394441,0.11295080271675459,10906,Partial (adjusted)
PC17,total_cholesterol_mmol_L,Total cholesterol,-0.012492776684429519,0.19174255725987993,10921,Partial (adjusted)
PC17,triglycerides_mmol_L_log,log(Triglycerides),-0.006942641764401685,0.4680904317725159,10925,Partial (adjusted)
PC18,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.01729315695386537,0.08617194657555746,9847,Partial (adjusted)
PC18,apolipoprotein_b_g_L,Apolipoprotein B,0.036182823831497624,0.0001629739602525895,10854,Partial (adjusted)
PC18,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.01879573257856758,0.06126310341173201,9916,Partial (adjusted)
PC18,ldl_cholesterol_mmol_L,LDL cholesterol,0.036282586654698856,0.00015072667064767667,10906,Partial (adjusted)
PC18,total_cholesterol_mmol_L,Total cholesterol,0.037356979941332386,9.42820889678073e-05,10921,Partial (adjusted)
PC18,triglycerides_mmol_L_log,log(Triglycerides),0.0008104031931839559,0.9325031781415748,10925,Partial (adjusted)
PC19,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.028080386456226,0.005325266715551497,9847,Partial (adjusted)
PC19,apolipoprotein_b_g_L,Apolipoprotein B,-0.005308993722798841,0.5802328674488938,10854,Partial (adjusted)
PC19,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.032038312143942926,0.0014189733449090382,9916,Partial (adjusted)
PC19,ldl_cholesterol_mmol_L,LDL cholesterol,-0.007269664481904544,0.44778847548402373,10906,Partial (adjusted)
PC19,total_cholesterol_mmol_L,Total cholesterol,0.0037029261417015897,0.6988109169020039,10921,Partial (adjusted)
PC19,triglycerides_mmol_L_log,log(Triglycerides),-0.01754348490675867,0.06670980804969848,10925,Partial (adjusted)
PC2,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.05357821541074426,1.038686499316411e-07,9847,Partial (adjusted)
PC2,apolipoprotein_b_g_L,Apolipoprotein B,0.03273626838514028,0.0006470878318859685,10854,Partial (adjusted)
PC2,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.015583898323885207,0.12072699005502155,9916,Partial (adjusted)
PC2,ldl_cholesterol_mmol_L,LDL cholesterol,0.052795792161710306,3.4527714877785436e-08,10906,Partial (adjusted)
PC2,total_cholesterol_mmol_L,Total cholesterol,0.061723085405175585,1.0771902081530272e-10,10921,Partial (adjusted)
PC2,triglycerides_mmol_L_log,log(Triglycerides),0.07916578206819515,1.1644950321121484e-16,10925,Partial (adjusted)
PC20,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.027861014865425412,0.005694175733510737,9847,Partial (adjusted)
PC20,apolipoprotein_b_g_L,Apolipoprotein B,0.005467219842311506,0.5689982390433694,10854,Partial (adjusted)
PC20,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.03330703536230253,0.0009092865285149998,9916,Partial (adjusted)
PC20,ldl_cholesterol_mmol_L,LDL cholesterol,-0.000941799799264917,0.9216602579555826,10906,Partial (adjusted)
PC20,total_cholesterol_mmol_L,Total cholesterol,0.003283462077123339,0.7315268286834702,10921,Partial (adjusted)
PC20,triglycerides_mmol_L_log,log(Triglycerides),-0.04395800649002888,4.3004591570187395e-06,10925,Partial (adjusted)
PC21,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.035236179372828746,0.0004701685037297039,9847,Partial (adjusted)
PC21,apolipoprotein_b_g_L,Apolipoprotein B,-0.003960244596451416,0.6799419030838751,10854,Partial (adjusted)
PC21,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.03724966932914048,0.00020717005261848792,9916,Partial (adjusted)
PC21,ldl_cholesterol_mmol_L,LDL cholesterol,-0.0052052592179477,0.5867608509262708,10906,Partial (adjusted)
PC21,total_cholesterol_mmol_L,Total cholesterol,-0.000512964898664656,0.9572534261694415,10921,Partial (adjusted)
PC21,triglycerides_mmol_L_log,log(Triglycerides),-0.03201853534916306,0.0008165003712738445,10925,Partial (adjusted)
PC22,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.0046089031774798825,0.6474588186839177,9847,Partial (adjusted)
PC22,apolipoprotein_b_g_L,Apolipoprotein B,-0.028165301548726672,0.0033400308943116806,10854,Partial (adjusted)
PC22,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.002090300436982751,0.8351319508362433,9916,Partial (adjusted)
PC22,ldl_cholesterol_mmol_L,LDL cholesterol,-0.03426697486130104,0.00034464419666370216,10906,Partial (adjusted)
PC22,total_cholesterol_mmol_L,Total cholesterol,-0.028494954403186695,0.0029005193176751543,10921,Partial (adjusted)
PC22,triglycerides_mmol_L_log,log(Triglycerides),-0.0002865504326389585,0.9761088391151033,10925,Partial (adjusted)
PC23,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.010818230861434911,0.283087036069991,9847,Partial (adjusted)
PC23,apolipoprotein_b_g_L,Apolipoprotein B,-0.00265708412128973,0.7819410848305803,10854,Partial (adjusted)
PC23,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.018643406633130064,0.06339354408910698,9916,Partial (adjusted)
PC23,ldl_cholesterol_mmol_L,LDL cholesterol,-0.005263700689246023,0.5825673356373792,10906,Partial (adjusted)
PC23,total_cholesterol_mmol_L,Total cholesterol,0.005196535659867558,0.5871310905313221,10921,Partial (adjusted)
PC23,triglycerides_mmol_L_log,log(Triglycerides),-0.012309878528234522,0.1982464501360154,10925,Partial (adjusted)
PC24,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.03736813658232946,0.00020812757622811392,9847,Partial (adjusted)
PC24,apolipoprotein_b_g_L,Apolipoprotein B,-0.014769108067279926,0.12390447713255381,10854,Partial (adjusted)
PC24,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.03440433971063088,0.000611332495221037,9916,Partial (adjusted)
PC24,ldl_cholesterol_mmol_L,LDL cholesterol,-0.020086374786488594,0.035938076208507454,10906,Partial (adjusted)
PC24,total_cholesterol_mmol_L,Total cholesterol,-0.007562098267329145,0.429418424000107,10921,Partial (adjusted)
PC24,triglycerides_mmol_L_log,log(Triglycerides),-0.003901508373453235,0.6834563612238468,10925,Partial (adjusted)
PC25,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.008157495864082702,0.41828754623384445,9847,Partial (adjusted)
PC25,apolipoprotein_b_g_L,Apolipoprotein B,-0.004089914978102823,0.6700711167418624,10854,Partial (adjusted)
PC25,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.004024181832430562,0.6886590018018525,9916,Partial (adjusted)
PC25,ldl_cholesterol_mmol_L,LDL cholesterol,0.0018397919420131748,0.847655323985516,10906,Partial (adjusted)
PC25,total_cholesterol_mmol_L,Total cholesterol,-0.0005173211501633994,0.9568907613728065,10921,Partial (adjusted)
PC25,triglycerides_mmol_L_log,log(Triglycerides),-0.014141058448834147,0.13941668379953168,10925,Partial (adjusted)
PC26,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.036899809108454744,0.0002498378413467072,9847,Partial (adjusted)
PC26,apolipoprotein_b_g_L,Apolipoprotein B,-0.007941910639406196,0.4080522469345046,10854,Partial (adjusted)
PC26,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.046746033835756304,3.2102573581297185e-06,9916,Partial (adjusted)
PC26,ldl_cholesterol_mmol_L,LDL cholesterol,-0.012772161456695047,0.18229522173250234,10906,Partial (adjusted)
PC26,total_cholesterol_mmol_L,Total cholesterol,0.0013950103612123373,0.8841053494394027,10921,Partial (adjusted)
PC26,triglycerides_mmol_L_log,log(Triglycerides),-0.002536137425846719,0.7909677944913954,10925,Partial (adjusted)
PC27,apolipoprotein_a_g_L_log,log(Apolipoprotein A),-0.014970819471318786,0.1374167782912804,9847,Partial (adjusted)
PC27,apolipoprotein_b_g_L,Apolipoprotein B,0.006080581289805869,0.5264572854827417,10854,Partial (adjusted)
PC27,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),-0.021767042796946044,0.030194741087845256,9916,Partial (adjusted)
PC27,ldl_cholesterol_mmol_L,LDL cholesterol,0.0015904632523493353,0.8680971405205083,10906,Partial (adjusted)
PC27,total_cholesterol_mmol_L,Total cholesterol,-0.000772956286085133,0.9356268774130284,10921,Partial (adjusted)
PC27,triglycerides_mmol_L_log,log(Triglycerides),0.013043161225165297,0.1728167334478413,10925,Partial (adjusted)
PC3,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.0541058099700485,7.774550338799994e-08,9847,Partial (adjusted)
PC3,apolipoprotein_b_g_L,Apolipoprotein B,-0.012978014141254265,0.176380566203932,10854,Partial (adjusted)
PC3,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),0.03729445221878269,0.00020354750490736136,9916,Partial (adjusted)
PC3,ldl_cholesterol_mmol_L,LDL cholesterol,-0.008349192385756328,0.3832976293653973,10906,Partial (adjusted)
PC3,total_cholesterol_mmol_L,Total cholesterol,0.0013462986376299017,0.8881251171702338,10921,Partial (adjusted)
PC3,triglycerides_mmol_L_log,log(Triglycerides),-0.012133142221753086,0.20476558074039053,10925,Partial (adjusted)
PC4,apolipoprotein_a_g_L_log,log(Apolipoprotein A),-0.1482512840728449,1.6692255059428445e-49,9847,Partial (adjusted)
PC4,apolipoprotein_b_g_L,Apolipoprotein B,-0.01710020875948698,0.07483600986803084,10854,Partial (adjusted)
PC4,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),-0.15707855203963755,8.361138767054599e-56,9916,Partial (adjusted)
PC4,ldl_cholesterol_mmol_L,LDL cholesterol,-0.012782339646806194,0.18194698492731065,10906,Partial (adjusted)
PC4,total_cholesterol_mmol_L,Total cholesterol,-0.0535537968009101,2.1442365965157666e-08,10921,Partial (adjusted)
PC4,triglycerides_mmol_L_log,log(Triglycerides),0.04264358642310703,8.244209680860305e-06,10925,Partial (adjusted)
PC5,apolipoprotein_a_g_L_log,log(Apolipoprotein A),-0.053091071984967646,1.3539824885085882e-07,9847,Partial (adjusted)
PC5,apolipoprotein_b_g_L,Apolipoprotein B,-0.012175157469179396,0.20467668254728413,10854,Partial (adjusted)
PC5,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),-0.04200147495863475,2.8669078651732255e-05,9916,Partial (adjusted)
PC5,ldl_cholesterol_mmol_L,LDL cholesterol,-0.00217599814645219,0.8202545301058609,10906,Partial (adjusted)
PC5,total_cholesterol_mmol_L,Total cholesterol,-0.011496903313327055,0.22960777470332086,10921,Partial (adjusted)
PC5,triglycerides_mmol_L_log,log(Triglycerides),0.019898977711550383,0.03753807305036972,10925,Partial (adjusted)
PC6,apolipoprotein_a_g_L_log,log(Apolipoprotein A),-0.030279801220431356,0.002655508734576653,9847,Partial (adjusted)
PC6,apolipoprotein_b_g_L,Apolipoprotein B,-0.008055238434274834,0.4013951867938075,10854,Partial (adjusted)
PC6,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),-0.025209034217848213,0.012060275695926935,9916,Partial (adjusted)
PC6,ldl_cholesterol_mmol_L,LDL cholesterol,0.003629261623167483,0.704711542019871,10906,Partial (adjusted)
PC6,total_cholesterol_mmol_L,Total cholesterol,-0.006116685763306961,0.5227263815420226,10921,Partial (adjusted)
PC6,triglycerides_mmol_L_log,log(Triglycerides),0.0041763017437950415,0.6624954753562377,10925,Partial (adjusted)
PC7,apolipoprotein_a_g_L_log,log(Apolipoprotein A),-0.07385347133946231,2.1725865034132247e-13,9847,Partial (adjusted)
PC7,apolipoprotein_b_g_L,Apolipoprotein B,-0.010092506832855641,0.2930893346442735,10854,Partial (adjusted)
PC7,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),-0.07621723342334832,2.967182641376822e-14,9916,Partial (adjusted)
PC7,ldl_cholesterol_mmol_L,LDL cholesterol,-0.023768250821592403,0.013056398271078757,10906,Partial (adjusted)
PC7,total_cholesterol_mmol_L,Total cholesterol,-0.03729103505010799,9.700779122280264e-05,10921,Partial (adjusted)
PC7,triglycerides_mmol_L_log,log(Triglycerides),0.032570467205854936,0.0006619610750221853,10925,Partial (adjusted)
PC8,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.0015477116474877112,0.8779541577801775,9847,Partial (adjusted)
PC8,apolipoprotein_b_g_L,Apolipoprotein B,0.031308164100718926,0.0011055588056729992,10854,Partial (adjusted)
PC8,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),-0.00044702728586629506,0.9644987007444862,9916,Partial (adjusted)
PC8,ldl_cholesterol_mmol_L,LDL cholesterol,0.028746514138990462,0.002679247332173699,10906,Partial (adjusted)
PC8,total_cholesterol_mmol_L,Total cholesterol,0.028048237863116818,0.0033745681879152312,10921,Partial (adjusted)
PC8,triglycerides_mmol_L_log,log(Triglycerides),0.015146240787894765,0.1134132570956817,10925,Partial (adjusted)
PC9,apolipoprotein_a_g_L_log,log(Apolipoprotein A),-0.028237903035753104,0.0050738395810308754,9847,Partial (adjusted)
PC9,apolipoprotein_b_g_L,Apolipoprotein B,0.0019954688603166177,0.8353310500324986,10854,Partial (adjusted)
PC9,hdl_cholesterol_mmol_L_log,log(HDL cholesterol),-0.023403373321199614,0.01977907695763899,9916,Partial (adjusted)
PC9,ldl_cholesterol_mmol_L,LDL cholesterol,0.005975125503771178,0.5326754402612236,10906,Partial (adjusted)
PC9,total_cholesterol_mmol_L,Total cholesterol,-0.0033604632379338395,0.725482374587429,10921,Partial (adjusted)
PC9,triglycerides_mmol_L_log,log(Triglycerides),0.017690770589545275,0.06445483071325454,10925,Partial (adjusted)
